Number,1,AWG:,16,Layers:,4,Length,50,Mass[g]:,25,Cap[uF]:,6800,V0 [V]:,350,L[uHy]:,170.8658496363133,Start pos[mm]:,0,v_0[m/s]:,0,t-incr[ms]:,0.02,..,10,ms R[Ohm]:,0.1278438072122969,
file = CG_1.fem
Diode used:,0,R_diode,0,
t , i , dz , F , L , dL , V_Cap ,  v , a
0,40.24635488771661,0.001909407310721274,79.55863794671971,170.8658496363133,0,349.1,0.06364691035737578,3182.345517868789
0.1,231.2509289521479,0.009491843446904546,14.05831586458878,171.6567375468447,3.362513228364013,347.3662323323714,0.08873943266256749,562.3326345835511
0.2,406.4685141094167,0.02686830437878313,50.76995765979933,171.5584440643459,-16.81542997634386,342.9161422509097,0.2279039998716949,2030.798306391973
0.3,566.2153208685223,0.06827236358681191,68.15732162115596,171.3868735594391,48.88905124038947,335.9800863463956,0.5013481010558472,2726.292864846238
0.4,709.5266443243334,0.1479216247311363,116.2379862841484,169.866122664079,-77.31927455175884,326.7912592927023,0.9329187258243696,4649.519451365934
vmax[m/s]:,3972.684682381057, vend[m/s]:,3972.684682381057,start pos[mm]:,0,imax[A]:,784.1630785118224,
Number,1,AWG:,18,Layers:,3,Length,70,Mass[g]:,18,Cap[uF]:,6800000,V0 [V]:,52,L[uHy]:,374.8898034863882,Start pos[mm]:,0,v_0[m/s]:,0,t-incr[ms]:,0.02,..,10,ms R[Ohm]:,0.1628059896001984,
file = CG_1.fem
Diode used:,0,R_diode,0,
t , i , dz , F , L , dL , V_Cap ,  v , a
0,2.702659947143219,0.005854156213901324,175.6246864170397,374.8898034863882,0,51.1,0.1951385404633775,9756.927023168872
0.1,16.91746561395577,0.0253946644829586,0.1598498440481366,248.6244996012801,-34654.12873996202,51.09988401075203,0.1956518360150995,8.880546891563146
0.2,29.18139546795673,0.04520337909910611,1.048703430417469,384.4421219144483,27.1816803232038,51.09956247173814,0.1996318477213054,58.26130168985942
